Assembly,Material,OpenOrders,NewOrders,TotalWork,TotalSetup,SumDuration,SumOperations,ProductionOrders,CycleTime
0.82708335,8708332,1,1,0.98,2.86,161,15,3,2222
0.82708335,8708332,1,1,0.98,2.86,254,25,5,2626
2.6625,47666660,4,3,2.7,7.72,199,20,4,2159
2.6625,47666660,4,3,2.7,7.72,147,15,3,1723
2.6625,47666660,4,3,2.7,7.72,161,15,3,1681
2.6625,47666660,4,3,2.7,7.72,147,15,3,1661
2.6625,47666660,4,3,2.7,7.72,442,45,9,6971
7.8777776,108361100,10,6,5.03,12.08,153,15,3,1983
7.8777776,108361100,10,6,5.03,12.08,158,15,3,2300
7.8777776,108361100,10,6,5.03,12.08,254,25,5,3478
7.8777776,108361100,10,6,5.03,12.08,209,20,4,2804
7.8777776,108361100,10,6,5.03,12.08,255,25,5,3689
7.8777776,108361100,10,6,5.03,12.08,155,15,3,2117
15.595834,158170820,15,2,5.81,11.78,151,15,3,2102
15.595834,158170820,15,2,5.81,11.78,147,15,3,1852
15.595834,158170820,15,2,5.81,11.78,442,45,9,7093
15.595834,158170820,15,2,5.81,11.78,155,15,3,2053
15.595834,158170820,15,2,5.81,11.78,161,15,3,2137
15.595834,158170820,15,2,5.81,11.78,155,15,3,1839
19.42257,169722200,17,6,6.42,12.71,158,15,3,1936
19.42257,169722200,17,6,6.42,12.71,417,40,8,7714
19.42257,169722200,17,6,6.42,12.71,193,20,4,3448
19.42257,169722200,17,6,6.42,12.71,147,15,3,1748
21.960714,199485090,15,3,6.86,11.75,253,25,5,3426
21.960714,199485090,15,3,6.86,11.75,147,15,3,2237
21.960714,199485090,15,3,6.86,11.75,199,20,4,2914
23.339151,221005440,14,3,6.15,12.54,156,15,3,2166
23.339151,221005440,14,3,6.15,12.54,442,45,9,9695
26.581018,252155060,15,3,7.4,11.96,255,25,5,3390
26.581018,252155060,15,3,7.4,11.96,150,15,3,2276
28.148333,264762460,12,2,6.49,12.9,147,15,3,2066
28.148333,264762460,12,2,6.49,12.9,255,25,5,2924
28.148333,264762460,12,2,6.49,12.9,255,25,5,4743
28.148333,264762460,12,2,6.49,12.9,158,15,3,2320
28.148333,264762460,12,2,6.49,12.9,442,45,9,9868
28.148333,264762460,12,2,6.49,12.9,150,15,3,1906
28.148333,264762460,12,2,6.49,12.9,145,15,3,2062
32.70038,262481020,11,3,6.25,12.81,161,15,3,3200
32.70038,262481020,11,3,6.25,12.81,193,20,4,2935
32.70038,262481020,11,3,6.25,12.81,152,15,3,1811
32.70038,262481020,11,3,6.25,12.81,397,40,8,10056
32.70038,262481020,11,3,6.25,12.81,158,15,3,1654
32.70038,262481020,11,3,6.25,12.81,149,15,3,3265
32.70038,262481020,11,3,6.25,12.81,147,15,3,2396
32.70038,262481020,11,3,6.25,12.81,201,20,4,3199
34.973263,278704830,17,8,6.43,12.12,397,40,8,5913
34.973263,278704830,17,8,6.43,12.12,399,40,8,6846
34.973263,278704830,17,8,6.43,12.12,209,20,4,5003
34.973263,278704830,17,8,6.43,12.12,152,15,3,3326
34.973263,278704830,17,8,6.43,12.12,255,25,5,4998
34.973263,278704830,17,8,6.43,12.12,255,25,5,4983
34.973263,278704830,17,8,6.43,12.12,150,15,3,2853
37.071957,364419800,20,5,7.35,11.36,199,20,4,3715
37.071957,364419800,20,5,7.35,11.36,442,45,9,11497
37.071957,364419800,20,5,7.35,11.36,255,25,5,5129
37.071957,364419800,20,5,7.35,11.36,147,15,3,2119
37.071957,364419800,20,5,7.35,11.36,209,20,4,4417
41.306297,368724450,21,2,8.74,10.02,254,25,5,5328
41.306297,368724450,21,2,8.74,10.02,156,15,3,3490
41.306297,368724450,21,2,8.74,10.02,161,15,3,3769
44.393196,377833280,22,6,8.99,10.68,152,15,3,3399
44.393196,377833280,22,6,8.99,10.68,199,20,4,4974
44.393196,377833280,22,6,8.99,10.68,147,15,3,2237
44.393196,377833280,22,6,8.99,10.68,256,25,5,7472
44.393196,377833280,22,6,8.99,10.68,197,20,4,4658
46.571354,446938720,22,4,9.49,10.04,255,25,5,7521
46.571354,446938720,22,4,9.49,10.04,147,15,3,4262
46.571354,446938720,22,4,9.49,10.04,193,20,4,5430
46.571354,446938720,22,4,9.49,10.04,254,25,5,8006
46.571354,446938720,22,4,9.49,10.04,149,15,3,5010
46.571354,446938720,22,4,9.49,10.04,152,15,3,5183
46.571354,446938720,22,4,9.49,10.04,193,20,4,4662
46.571354,446938720,22,4,9.49,10.04,254,25,5,8903
46.571354,446938720,22,4,9.49,10.04,149,15,3,3593
46.571354,446938720,22,4,9.49,10.04,442,45,9,14327
49.375244,486510940,30,11,9.53,10.27,255,25,5,6876
49.375244,486510940,30,11,9.53,10.27,199,20,4,6335
49.375244,486510940,30,11,9.53,10.27,442,45,9,11748
49.375244,486510940,30,11,9.53,10.27,158,15,3,5502
49.375244,486510940,30,11,9.53,10.27,245,25,5,8329
49.375244,486510940,30,11,9.53,10.27,158,15,3,4428
49.375244,486510940,30,11,9.53,10.27,201,20,4,6113
49.375244,486510940,30,11,9.53,10.27,254,25,5,8516
49.375244,486510940,30,11,9.53,10.27,255,25,5,8699
50.995487,554122600,32,5,8.91,10.12,442,45,9,11462
50.995487,554122600,32,5,8.91,10.12,149,15,3,4676
50.995487,554122600,32,5,8.91,10.12,199,20,4,7070
50.995487,554122600,32,5,8.91,10.12,150,15,3,5764
50.995487,554122600,32,5,8.91,10.12,150,15,3,6556
