TotalWork,TotalSetup,SumDuration,SumOperations,ProductionOrders,CycleTime
2.08,5.36,155,15,3,2192
2.08,5.36,209,20,4,2495
2.98,6.15,161,15,3,1998
2.98,6.15,149,15,3,1908
2.9,7.79,255,25,5,3237
2.9,7.79,255,25,5,3772
2.9,7.79,245,25,5,2731
2.9,7.79,255,25,5,2678
4.96,10.6,150,15,3,1806
4.96,10.6,145,15,3,1509
5.24,10.55,147,15,3,1776
5.24,10.55,404,40,8,4794
6.54,11.09,150,15,3,1570
6.54,11.09,155,15,3,1948
6.54,11.09,417,40,8,5563
6.12,11.99,256,25,5,3794
5.36,11.75,158,15,3,1842
4.33,9.97,256,25,5,3036
4.33,9.97,442,45,9,5455
4.33,9.97,156,15,3,1935
4.33,9.97,153,15,3,1701
5.06,12.43,155,15,3,1893
5.06,11.21,158,15,3,2004
4.1,9.2,149,15,3,2155
4.1,9.2,195,20,4,2127
4.1,9.2,245,25,5,2782
4.1,9.2,200,20,4,2403
5.09,11.57,442,45,9,4690
5.09,11.57,150,15,3,1594
5.72,11.73,151,15,3,2097
5.72,11.73,256,25,5,3527
4.43,10.99,397,40,8,4872
4.43,10.99,199,20,4,2239
5.9,11.6,195,20,4,2656
4.04,10.58,199,20,4,2480
4.04,10.58,255,25,5,2909
4.67,10.56,158,15,3,1603
3.68,8.81,209,20,4,2972
2.7,7.3,161,15,3,1772
2.7,7.3,147,15,3,2079
4.53,11.27,158,15,3,2366
4.53,11.27,145,15,3,2118
4.53,11.27,310,30,6,3644
5.05,11.19,149,15,3,1502
5.05,11.19,195,20,4,2238
5.28,11.35,147,15,3,2108
3.73,8.72,253,25,5,3121
3.73,8.72,151,15,3,2057
1.77,2.75,151,15,3,1595
2.98,4.18,161,15,3,1828
2.98,4.18,255,25,5,3391
2.02,4.56,149,15,3,2106
3.25,8.6,158,15,3,2161
3.25,8.6,153,15,3,1703
3.25,8.6,153,15,3,1683
3.25,8.6,152,15,3,1878
3.25,8.6,197,20,4,2106
3.25,8.6,200,20,4,2079
4.92,7.7,199,20,4,2293
4.92,7.7,253,25,5,3055
4.92,7.7,155,15,3,1878
6.12,11.94,417,40,8,5000
6.12,11.94,161,15,3,2330
5.17,12.29,199,20,4,2495
4.12,8.32,195,20,4,2799
4.12,8.32,156,15,3,2130
3.34,7.74,197,20,4,2095
3.34,7.74,404,40,8,5063
3.71,9.57,155,15,3,2027
3.71,9.57,158,15,3,1856
4.08,8.6,149,15,3,1613
4.08,8.6,156,15,3,1976
4.08,8.6,147,15,3,1682
4.08,8.6,149,15,3,1667
4.06,9.46,201,20,4,2723
4.06,9.46,158,15,3,1646
5.41,11.4,442,45,9,6245
5.41,11.4,158,15,3,2340
