TotalWork,TotalSetup,SumDuration,SumOperations,ProductionOrders,CycleTime
4.69,10.93,145,15,3,1608
2.64,6.26,149,15,3,2035
2.64,6.26,245,25,5,2484
2.64,6.26,199,20,4,2476
3.62,9.17,397,40,8,5235
3.62,9.17,200,20,4,2222
3.62,9.17,149,15,3,2053
5.64,11.2,209,20,4,3063
5.64,11.2,200,20,4,2312
5.64,11.2,145,15,3,1591
5.64,11.2,199,20,4,2165
4.83,11.93,147,15,3,1976
4.83,11.93,397,40,8,3987
4.83,11.93,197,20,4,2179
4.83,11.93,158,15,3,1638
6.12,12.59,195,20,4,2385
6.12,12.59,145,15,3,1470
5.7,11.36,147,15,3,1953
5.7,11.36,399,40,8,5128
4.34,9.68,161,15,3,1625
3.88,9.3,145,15,3,1806
3.88,9.3,193,20,4,2076
3.88,9.3,151,15,3,1783
3.88,9.3,145,15,3,1853
3.79,9.75,255,25,5,3004
3.79,9.75,158,15,3,2012
3.79,9.75,145,15,3,1503
4.12,10.21,256,25,5,3836
4.12,10.21,256,25,5,3355
6.14,10.69,417,40,8,5188
6.17,10.84,155,15,3,1980
6.17,10.84,256,25,5,3531
6.17,10.84,153,15,3,2110
6.17,10.84,399,40,8,5307
5.11,10.77,253,25,5,3776
5.86,12.12,199,20,4,2568
5.86,12.12,145,15,3,1461
4.62,11.38,417,40,8,4643
4.62,11.38,147,15,3,1807
2.38,5.79,158,15,3,2042
2.38,5.79,399,40,8,4059
2.38,5.79,255,25,5,3428
0,0,200,20,4,2283
0.12,0.46,150,15,3,1533
0.12,0.46,156,15,3,1627
0.12,0.46,399,40,8,5615
1.83,4.45,255,25,5,3205
1.95,5.31,200,20,4,2568
0.33,1.17,161,15,3,2219
0.33,1.17,199,20,4,2844
2.77,7.19,200,20,4,2058
4.75,11.32,442,45,9,6612
4.75,11.32,200,20,4,2762
4.93,10.64,151,15,3,2022
4.93,10.64,255,25,5,2619
4.93,10.64,149,15,3,1857
4.06,9.12,310,30,6,4299
4.06,9.12,151,15,3,2245
3.59,8.85,201,20,4,2588
3.59,8.85,256,25,5,3501
3.59,8.85,158,15,3,1723
2.94,7.43,209,20,4,2712
2.94,7.43,197,20,4,2507
5.07,12.83,399,40,8,5129
2.56,6.9,153,15,3,1699
2.56,6.9,158,15,3,1985
2.56,6.9,201,20,4,2873
2.77,5.36,155,15,3,1944
3.84,10,397,40,8,5450
3.46,7.53,161,15,3,2335
2.24,4.72,404,40,8,5673
2.25,6.26,245,25,5,3430
2.25,6.26,145,15,3,1745
2.25,6.26,149,15,3,1952
2.25,6.26,199,20,4,2733
2.04,5.46,253,25,5,3498
2.04,5.46,149,15,3,2046
3.94,10.81,254,25,5,3681
3.94,10.81,158,15,3,1961
3.94,10.81,152,15,3,2006
3.94,10.81,199,20,4,2499
3.94,10.81,158,15,3,2075
3.64,8.89,193,20,4,2269
3.94,10.81,152,15,3,2182
5.06,11.83,199,20,4,2504
4.56,9.66,152,15,3,1629
4.56,9.66,145,15,3,1497
4.56,9.66,152,15,3,2178
3.36,8.68,245,25,5,2702
3.36,8.68,404,40,8,5445
4.6,10.14,150,15,3,1898
4.6,10.14,197,20,4,2053
5.74,11.63,209,20,4,2472
4.98,10.74,417,40,8,5351
4.21,10.68,152,15,3,2201
4.98,10.74,254,25,5,3681
4.98,10.74,397,40,8,4665
5.49,11.09,199,20,4,2445
5.49,11.09,145,15,3,1861
5.49,11.09,201,20,4,2335
5.6,11.8,255,25,5,3663
5.6,11.8,161,15,3,2022
5.6,11.8,152,15,3,1857
4.44,10.57,195,20,4,1965
4.44,10.57,397,40,8,4846
4.44,10.57,147,15,3,1471
4.44,10.57,147,15,3,1762
6.05,12.2,310,30,6,3898
6.05,12.2,149,15,3,2172
5.14,11.12,155,15,3,2123
5.14,11.12,151,15,3,2122
3.43,7.76,255,25,5,3300
3.43,7.76,158,15,3,1759
2.57,6.19,310,30,6,4059
2.57,6.19,254,25,5,3183
4.57,10.56,147,15,3,1665
0.97,2.5,156,15,3,1795
0.97,2.5,158,15,3,1746
0.97,2.5,161,15,3,1870
2.4,4.6,209,20,4,2219
2.4,4.6,147,15,3,1576
2.4,4.6,156,15,3,2080
3.9,8.5,153,15,3,2253
3.9,8.5,150,15,3,2107
3.9,8.5,253,25,5,3471
3.9,8.5,255,25,5,3290
3.16,6.7,193,20,4,2334
3.16,6.7,199,20,4,2105
3.16,6.7,254,25,5,3538
2.92,6.84,195,20,4,2518
2.92,6.84,152,15,3,1859
3.99,10.19,399,40,8,4527
4.36,10.7,158,15,3,1605
4.36,10.7,195,20,4,2754
4.7,9.67,404,40,8,4587
4.7,9.67,399,40,8,4171
4.7,9.67,404,40,8,4568
4.7,9.67,245,25,5,2816
6.05,12.14,254,25,5,2805
6.78,11.83,147,15,3,2178
5.78,11.68,197,20,4,2580
5.78,11.68,253,25,5,3125
4.56,9.62,158,15,3,2210
4.56,9.62,209,20,4,2196
4.56,9.62,404,40,8,5822
4.6,11.61,152,15,3,2198
4.6,11.61,254,25,5,2745
4.6,11.61,195,20,4,2893
4.6,11.61,310,30,6,4626
6.28,11.79,442,45,9,6279
6.9,11.7,417,40,8,5181
5.55,11.52,254,25,5,3206
2.85,6.31,254,25,5,3270
2.85,6.31,195,20,4,2065
2.78,6.6,149,15,3,2118
2.66,7.15,155,15,3,1690
2.66,7.15,161,15,3,2106
2.71,6.25,155,15,3,1798
2.71,6.25,155,15,3,1915
2.71,6.25,199,20,4,2056
3.76,8.45,200,20,4,2273
3.76,8.45,256,25,5,3659
3.76,8.45,151,15,3,1668
3.76,8.45,442,45,9,5240
5.51,11.86,199,20,4,2802
5.12,11.48,256,25,5,2741
4.23,10.64,404,40,8,4700
4.23,10.64,153,15,3,1749
3.77,9.07,158,15,3,1787
2.6,6.69,147,15,3,2038
1.67,4.21,147,15,3,2145
1.67,4.21,152,15,3,2214
1.05,2.77,152,15,3,1959
1.05,2.77,147,15,3,1994
1.05,2.77,156,15,3,2123
1.05,2.77,149,15,3,1592
4.38,8.97,158,15,3,2198
4.38,8.97,310,30,6,4461
4.38,8.97,158,15,3,1962
4.38,8.97,153,15,3,2042
5.7,11.41,417,40,8,4618
5.7,11.41,209,20,4,2964
5.7,11.41,150,15,3,2048
6.28,11.43,155,15,3,1600
6.28,11.43,195,20,4,2552
6.28,11.43,255,25,5,3407
6.28,11.43,149,15,3,2045
5.5,11.96,158,15,3,1979
5.5,11.96,153,15,3,1547
6,11.99,158,15,3,2079
3.82,10.02,145,15,3,1888
3.82,10.02,442,45,9,4624
3.82,10.02,310,30,6,4269
3.82,10.02,399,40,8,4367
4.98,10.3,197,20,4,2522
4.98,10.3,158,15,3,1888
4.98,10.3,195,20,4,2779
6.2,12.02,256,25,5,3522
6.2,12.02,151,15,3,2106
6.2,12.02,256,25,5,2611
6.33,10.58,151,15,3,1767
7.64,11.2,161,15,3,1849
7.64,11.2,158,15,3,1728
7.64,11.2,153,15,3,1576
7.64,11.2,147,15,3,2174
7.67,11.88,197,20,4,2398
7.67,11.88,149,15,3,2173
8,11.49,156,15,3,1855
4.1,9.29,156,15,3,1785
4.1,9.29,254,25,5,3529
4.1,9.29,158,15,3,1988
4.99,11.16,150,15,3,2080
4.99,11.16,197,20,4,2336
4.99,11.16,255,25,5,2591
4.99,11.16,161,15,3,2138
4.99,11.16,209,20,4,2483
4.99,11.16,145,15,3,1851
4.99,11.16,256,25,5,2791
6.32,11.08,209,20,4,2222
6.32,11.08,201,20,4,2647
6.71,12.04,151,15,3,2022
6.71,12.04,200,20,4,2205
6.71,12.04,253,25,5,3429
6.76,12.07,193,20,4,2053
6.76,12.07,399,40,8,5742
7.18,10.7,199,20,4,2573
7.18,10.7,255,25,5,3542
7.18,10.7,161,15,3,1672
7.05,12.15,152,15,3,1707
7.05,12.15,151,15,3,1899
7.05,12.15,150,15,3,1584
6.38,10.5,253,25,5,3003
6.38,10.5,199,20,4,2877
5.96,12.43,255,25,5,3458
5.96,12.43,256,25,5,3649
5.96,12.43,149,15,3,1958
7.45,10.98,156,15,3,1748
7.45,10.98,149,15,3,1981
7.45,10.98,245,25,5,2881
5.53,12.1,147,15,3,2123
5.53,12.1,197,20,4,2077
5.53,12.1,153,15,3,1699
3.35,7.62,193,20,4,2142
3.35,7.62,156,15,3,1564
3.35,7.62,161,15,3,1738
2.66,5.84,149,15,3,2017
2.54,5.72,399,40,8,4156
2.66,8.4,199,20,4,2527
2.66,8.4,161,15,3,2062
3.9,9.22,145,15,3,1600
1.15,2.78,158,15,3,1967
0,0,201,20,4,2071
1.15,2.78,151,15,3,2027
1.15,2.78,256,25,5,2825
2.92,7.81,399,40,8,5973
2.92,7.81,255,25,5,2741
5.29,12.18,399,40,8,4222
5.29,12.18,442,45,9,6102
5.29,12.18,152,15,3,1970
5.29,12.18,156,15,3,2038
6.6,12.3,147,15,3,1576
4.38,10.8,151,15,3,1644
4.38,10.8,255,25,5,3316
3.09,7.84,151,15,3,2098
2.02,5.45,253,25,5,3021
2.02,5.45,200,20,4,2235
0.85,2.46,199,20,4,2247
0.85,2.46,254,25,5,2655
4.93,9.79,442,45,9,5263
4.38,9.43,155,15,3,1666
4.38,9.43,199,20,4,2534
4.05,11.04,254,25,5,3615
4.55,10.35,442,45,9,5119
4.55,10.35,153,15,3,1650
4.55,10.35,256,25,5,2978
3,7.38,197,20,4,2733
3,7.38,156,15,3,1663
4.07,9.38,193,20,4,2782
4.07,9.38,149,15,3,1945
3.01,6.29,156,15,3,1641
3.01,6.29,399,40,8,4972
3.01,6.29,397,40,8,4822
2.93,8.19,254,25,5,3336
2.93,8.19,150,15,3,2109
5.24,10.29,153,15,3,1772
5.11,11.52,145,15,3,1847
5.11,11.52,158,15,3,2177
5.11,11.52,245,25,5,2779
3.28,9.67,161,15,3,1618
3.28,9.67,153,15,3,2082
2.29,5.95,193,20,4,2388
2.65,7.29,193,20,4,2834
2.65,7.29,161,15,3,2232
2.65,7.29,161,15,3,2149
3.12,6.7,255,25,5,2696
5.12,9.19,417,40,8,4781
5.12,9.19,149,15,3,1777
3.46,6.88,209,20,4,2264
3.46,6.88,155,15,3,1881
2.8,6.8,417,40,8,5253
2.8,6.8,147,15,3,1642
2.8,6.8,209,20,4,2933
3.53,9.14,255,25,5,3457
3.53,9.14,417,40,8,5759
5.48,11.08,145,15,3,1920
4.81,10.16,151,15,3,1907
4.04,10.54,255,25,5,3403
4.04,10.54,161,15,3,1982
3.34,7.31,155,15,3,2105
3.34,7.31,145,15,3,2050
3.38,9.42,417,40,8,5561
3.38,9.42,151,15,3,1916
4.32,10.34,149,15,3,1880
4.32,10.34,149,15,3,2036
3.78,8.07,155,15,3,2183
3.78,8.07,209,20,4,2533
3.78,8.07,147,15,3,2007
3.78,8.07,156,15,3,2132
3.78,8.07,255,25,5,3149
3.78,8.07,147,15,3,1568
5.06,10.55,199,20,4,2827
5.06,10.55,145,15,3,2170
5.07,11.3,310,30,6,3701
4.25,11.12,397,40,8,4399
0.47,0.49,255,25,5,3462
0.47,0.49,195,20,4,2838
0.02,0.2,153,15,3,2207
0.02,0.2,399,40,8,5191
4.26,9.02,197,20,4,2337
4.26,9.02,256,25,5,3552
3.53,9.02,158,15,3,2113
3.62,7.48,200,20,4,2953
3.62,7.48,255,25,5,2953
3.62,7.48,310,30,6,4287
4.2,9.31,256,25,5,3342
4.09,10.7,199,20,4,2211
2.1,4.41,199,20,4,2554
2.1,4.41,195,20,4,2781
1.88,5.38,399,40,8,4465
4.8,11.19,399,40,8,4512
4.8,11.19,404,40,8,4276
4.8,11.19,199,20,4,2970
4.8,11.19,197,20,4,2589
5.32,12.07,199,20,4,2424
5.32,12.07,150,15,3,1640
5.93,12.51,149,15,3,1775
5.93,12.51,253,25,5,3426
5.74,12.36,156,15,3,1942
5.24,11.01,201,20,4,2552
5.24,11.01,195,20,4,2359
5.24,11.01,397,40,8,5784
4.52,9.57,200,20,4,2366
4.52,9.57,256,25,5,3026
4.52,9.57,149,15,3,1704
4.52,9.57,149,15,3,2138
4.16,10.02,254,25,5,2925
4.44,9.92,195,20,4,2479
4.44,9.92,149,15,3,1639
4.44,9.92,151,15,3,1695
4.44,9.92,256,25,5,3243
4.55,9.46,153,15,3,1888
4.55,9.46,199,20,4,2380
4.81,11.18,310,30,6,4061
4.81,11.18,151,15,3,2137
4.82,11,245,25,5,3198
4.82,11,147,15,3,1955
2.62,6.25,156,15,3,1984
2.62,6.25,404,40,8,4067
2.62,6.25,145,15,3,1741
4.08,10.09,201,20,4,2744
4.83,10.42,193,20,4,1947
4.83,10.42,155,15,3,1746
4.83,10.42,442,45,9,4882
4.83,10.42,197,20,4,2387
4.69,11.09,255,25,5,3390
4.69,11.09,255,25,5,3677
4.69,11.09,195,20,4,2840
4.69,11.09,193,20,4,2248
4.69,11.09,200,20,4,2562
7.38,10.58,152,15,3,1661
7.38,10.58,150,15,3,1529
7.38,10.58,255,25,5,3120
7.38,10.58,155,15,3,1760
7.38,10.58,197,20,4,2140
7.32,12.21,195,20,4,2404
6.13,13.05,147,15,3,1698
6.13,13.05,404,40,8,4085
6.95,11.73,195,20,4,2308
6.95,11.73,310,30,6,3123
6.95,11.73,255,25,5,3787
6.95,11.73,245,25,5,2513
7.12,12.3,201,20,4,2813
5.02,11.35,399,40,8,4280
5.56,13.05,199,20,4,2636
5.56,13.05,149,15,3,1887
5.56,13.05,195,20,4,2793
5.56,13.05,145,15,3,1926
4.91,12.46,161,15,3,1744
4.89,11.33,151,15,3,2028
4.89,11.33,156,15,3,1687
4.89,11.33,195,20,4,2288
3.86,9.55,158,15,3,1766
4.06,8.79,417,40,8,5531
4.06,8.79,153,15,3,2110
4.08,9.79,404,40,8,4577
4.21,10.35,150,15,3,2167
4.21,10.35,156,15,3,1874
4.15,9.55,150,15,3,2229
4.31,9.51,417,40,8,4720
4.31,9.51,145,15,3,1462
4.31,10.29,255,25,5,3471
4.31,10.29,399,40,8,5534
4.31,10.29,201,20,4,2580
4.64,10.76,197,20,4,2663
4.88,11.46,155,15,3,1652
4.88,11.46,156,15,3,2306
4.88,11.46,399,40,8,5293
4.88,11.46,255,25,5,3817
4.88,11.46,147,15,3,1690
5.26,10.12,199,20,4,2212
5.26,10.12,149,15,3,1915
5.26,10.12,147,15,3,1487
5.4,12.54,155,15,3,1832
5.4,12.54,156,15,3,1818
4.76,11.44,310,30,6,3811
4.76,11.44,156,15,3,2049
4.76,11.44,256,25,5,3016
4.38,9.53,149,15,3,1539
4.38,9.53,152,15,3,2184
4.38,9.53,200,20,4,2496
4.34,10.49,156,15,3,2016
4.34,10.49,152,15,3,1809
5.14,11.36,253,25,5,3345
4.77,10.65,145,15,3,2103
2.94,6.66,256,25,5,3482
2.94,6.66,151,15,3,1737
2.95,7.38,156,15,3,1828
2.95,7.38,310,30,6,3854
2.95,7.38,158,15,3,1781
2.95,7.38,147,15,3,1642
5.1,10.52,209,20,4,3095
5.1,10.52,193,20,4,2068
5.1,10.52,149,15,3,1647
4.35,9.28,147,15,3,1735
4.35,9.28,153,15,3,1951
4.35,9.28,153,15,3,1968
3.96,7.8,199,20,4,2830
3.96,7.8,155,15,3,1673
4.95,8.59,150,15,3,1793
3.08,6.79,151,15,3,2009
2.05,6.56,397,40,8,4576
3.33,8.83,254,25,5,3246
3.33,8.83,153,15,3,1829
3.33,8.83,253,25,5,3155
5.21,10.52,417,40,8,5206
5.21,10.52,255,25,5,3574
5.21,10.52,256,25,5,3774
4.97,10.6,404,40,8,4503
4.97,10.6,253,25,5,2673
4.97,10.6,153,15,3,1695
4.97,10.6,397,40,8,4966
6.94,11.35,254,25,5,3728
6.69,11.02,253,25,5,3509
6.69,11.02,310,30,6,4636
7.02,12.31,158,15,3,1947
5.68,11.89,151,15,3,2066
5.68,11.89,404,40,8,4267
5.68,11.89,404,40,8,4170
5.68,11.89,417,40,8,5149
6.94,12.24,193,20,4,2297
6.94,12.24,195,20,4,1957
6.49,11.7,150,15,3,2196
6.49,11.7,310,30,6,3879
6.49,11.7,156,15,3,1649
3.82,8.58,156,15,3,2258
3.82,8.58,201,20,4,2402
3.82,8.58,199,20,4,2082
3.79,8.23,195,20,4,2484
4.12,10.85,404,40,8,5017
4.12,10.85,255,25,5,3202
4.69,10.82,149,15,3,1902
4.69,10.82,147,15,3,1748
4.69,10.82,193,20,4,2839
4.3,10.17,245,25,5,3604
4.3,10.17,161,15,3,1802
4.3,10.17,147,15,3,1633
4.58,11.59,158,15,3,2322
3.77,7.88,209,20,4,3114
3.77,7.88,156,15,3,2338
2.43,6.62,156,15,3,2076
2.43,6.62,147,15,3,1988
2.43,6.62,161,15,3,2374
2.43,6.62,397,40,8,4740
3.3,8.02,149,15,3,1859
3.3,8.02,200,20,4,2681
6.06,11.32,195,20,4,1987
4,9.82,161,15,3,2096
4,9.82,147,15,3,1528
3.82,7.97,161,15,3,2000
5.49,11.84,161,15,3,2256
4.56,9.54,149,15,3,1494
2.12,5.52,254,25,5,3390
1.53,3.44,197,20,4,2258
2.19,5,156,15,3,1672
2.19,5,417,40,8,4471
2.3,5.42,417,40,8,5476
5.86,10.27,201,20,4,2501
4.12,8.42,200,20,4,2518
4.12,8.42,149,15,3,2231
4.12,8.42,256,25,5,3385
4.12,8.42,209,20,4,2778
4.12,8.42,151,15,3,2122
3.88,10.4,150,15,3,2016
3.88,10.4,199,20,4,2822
4.22,10.66,145,15,3,2100
4.22,10.66,397,40,8,5252
4.22,10.66,161,15,3,1971
6.9,11.68,201,20,4,2444
6.9,11.68,417,40,8,4588
5.01,11.48,195,20,4,2638
5.01,11.48,151,15,3,1662
5.01,11.48,397,40,8,5539
5.01,11.48,254,25,5,3777
5.27,12.07,404,40,8,5332
5.27,12.07,442,45,9,5434
5.27,12.07,417,40,8,4865
5.27,12.07,156,15,3,2034
6.95,11.74,209,20,4,2415
7.41,11.76,156,15,3,2165
7,11.8,151,15,3,1539
7,11.8,156,15,3,2087
7,11.8,199,20,4,2550
7,11.8,147,15,3,1642
6.02,11.84,209,20,4,2821
4.89,10.75,161,15,3,2357
4.89,10.75,256,25,5,2724
4.89,10.75,147,15,3,1476
4.89,10.75,201,20,4,2067
5.12,11.88,152,15,3,1657
5.12,11.88,417,40,8,5339
4.57,8.67,147,15,3,1810
4.57,8.67,153,15,3,1592
4.57,8.67,254,25,5,2972
4.57,8.67,193,20,4,2100
4.31,11.08,310,30,6,4310
4.31,11.08,158,15,3,1736
4.31,11.08,442,45,9,5920
4.31,11.08,149,15,3,2179
5.14,11.88,158,15,3,2048
5.14,11.88,145,15,3,1968
3.79,9.6,158,15,3,2216
3.79,9.6,161,15,3,1643
2.69,6.12,153,15,3,1817
2.69,6.12,255,25,5,3119
2.69,6.12,156,15,3,1982
2.69,6.12,158,15,3,2350
4.56,11.62,155,15,3,2052
4.56,11.62,201,20,4,2075
4.56,11.62,245,25,5,2455
4.56,11.62,199,20,4,2965
5.51,10.36,245,25,5,2541
5.51,10.36,201,20,4,2286
5.51,10.36,256,25,5,3099
6.58,11.81,158,15,3,2323
6.58,11.81,310,30,6,3937
6.58,11.81,145,15,3,1576
6.01,11.97,155,15,3,2304
6.01,11.97,245,25,5,3297
5.98,12.4,442,45,9,4940
5.98,12.4,399,40,8,5438
6.45,12.01,255,25,5,3609
4.96,11.3,245,25,5,3066
4.96,11.3,404,40,8,5183
5.38,11.59,151,15,3,1770
5.38,11.59,310,30,6,3905
4.28,11.06,404,40,8,6000
4.28,11.06,397,40,8,4976
4.28,11.06,404,40,8,5466
4.7,7.16,145,15,3,2174
4.7,7.16,147,15,3,1552
3.4,9.25,397,40,8,5225
3.4,9.25,255,25,5,3787
2.82,7.19,256,25,5,2789
1.88,4.14,145,15,3,1954
1.88,4.14,195,20,4,2670
1.88,4.14,156,15,3,2188
1.53,5.01,245,25,5,2741
3.42,9.26,200,20,4,2142
4.65,9.47,200,20,4,2548
2.92,9.52,442,45,9,5497
2.92,9.52,149,15,3,1941
3.32,7.98,200,20,4,2830
3.32,7.98,145,15,3,2055
3.32,7.98,253,25,5,3461
3.32,7.98,201,20,4,2803
3.32,7.98,200,20,4,2034
3.32,7.98,442,45,9,6199
3.84,9.29,200,20,4,2196
3.84,9.29,399,40,8,4816
6.57,12.24,151,15,3,1883
6.57,12.24,149,15,3,1515
6.57,12.24,310,30,6,4448
7.02,12.07,404,40,8,5837
7.02,12.07,156,15,3,1721
7.02,12.07,197,20,4,2722
7.02,12.07,151,15,3,2059
5.83,10.67,256,25,5,3823
5.83,10.67,404,40,8,4069
5.83,10.67,209,20,4,2905
6.41,11.94,253,25,5,3104
6.41,11.94,200,20,4,2380
7.41,11.12,195,20,4,2545
7.41,11.12,161,15,3,2378
7.41,11.12,153,15,3,1579
6.86,11.05,156,15,3,1917
6.86,11.05,200,20,4,2586
5.85,11.97,442,45,9,5084
5.85,11.97,195,20,4,2016
5.85,11.97,199,20,4,2813
5.82,12.74,193,20,4,2146
3.84,9.38,158,15,3,2036
1.17,3.82,201,20,4,2709
1.17,3.82,397,40,8,4953
3.99,8.8,150,15,3,1779
3.99,8.8,417,40,8,5606
3.99,8.8,245,25,5,2571
3.99,8.8,156,15,3,1627
4.81,11.27,149,15,3,1643
5.27,11.77,153,15,3,1594
3.79,9.03,255,25,5,2828
3.79,9.03,158,15,3,1652
3.79,9.03,255,25,5,2598
3.79,9.03,255,25,5,3270
4.52,11.28,158,15,3,2049
5.1,10.6,147,15,3,1890
5.1,10.6,199,20,4,2692
5.1,10.6,253,25,5,3214
4.65,11.16,151,15,3,2208
5.12,9.55,199,20,4,2691
5.12,9.55,147,15,3,2031
5.12,9.55,201,20,4,2809
3.7,7.92,245,25,5,2596
4.36,10.4,199,20,4,2588
4.36,10.4,417,40,8,5543
4.36,10.4,399,40,8,4615
5.79,12.06,161,15,3,2171
5.79,12.06,200,20,4,2816
5.79,12.06,156,15,3,1753
6.03,12.46,199,20,4,2205
5.68,12.83,253,25,5,3713
6.03,12.46,161,15,3,1953
6.03,12.46,404,40,8,4558
6.03,12.46,150,15,3,2181
5.72,12.2,397,40,8,5694
6.21,12.7,153,15,3,1643
6.21,12.7,155,15,3,2069
6.21,12.7,397,40,8,5544
3.51,8.12,153,15,3,1573
3.51,8.12,149,15,3,1922
3.51,8.12,253,25,5,2929
3.51,8.12,195,20,4,2390
3.51,8.12,152,15,3,1764
2.78,7.62,153,15,3,2022
3.76,9.44,255,25,5,2917
3.76,9.44,155,15,3,1998
3.76,9.44,147,15,3,1621
3.33,8.93,399,40,8,5706
3.33,8.93,147,15,3,2164
4.51,11.85,152,15,3,1804
2.47,6.66,255,25,5,3717
2.47,6.66,149,15,3,1649
2.47,6.66,147,15,3,1860
3.88,10.36,417,40,8,5024
3.88,10.36,397,40,8,4884
5.16,11.07,147,15,3,2170
5.16,11.07,200,20,4,2558
4.1,10.43,149,15,3,2205
5.16,11.07,417,40,8,5847
5.16,11.07,245,25,5,3134
4.52,11.44,310,30,6,4638
4.52,11.44,145,15,3,2087
4.52,11.44,442,45,9,5398
5.85,10.12,155,15,3,2039
4.66,12.23,310,30,6,4394
4.66,12.23,147,15,3,1576
3.54,7.55,310,30,6,3102
3.54,7.55,397,40,8,4184
3.54,7.55,199,20,4,2840
3.54,7.55,209,20,4,2929
3.54,7.55,195,20,4,2137
3.54,7.55,199,20,4,2899
6.59,12.44,145,15,3,2020
6.59,12.44,209,20,4,2271
6.59,12.44,417,40,8,4212
6.59,12.44,417,40,8,5147
7.03,12.71,253,25,5,2751
7.09,11.95,199,20,4,2824
7.09,11.95,201,20,4,2900
7.09,11.95,195,20,4,2897
6.57,10.47,399,40,8,4148
6.57,10.47,158,15,3,1628
6.12,12.06,156,15,3,2044
6.12,12.06,442,45,9,5289
6.12,12.06,150,15,3,1664
6.12,12.06,151,15,3,1666
6,11.34,199,20,4,2448
5.52,10.7,255,25,5,3470
5.52,10.7,158,15,3,1643
4.72,12.21,256,25,5,3066
3.14,7.01,310,30,6,4258
3.14,7.01,147,15,3,1857
1.9,4.97,145,15,3,2005
1.9,4.97,201,20,4,2367
1.9,4.97,200,20,4,2200
1.9,4.97,209,20,4,2339
1.9,4.97,153,15,3,1553
3.54,9.54,399,40,8,4475
3.54,9.54,397,40,8,5839
5.78,13.52,193,20,4,2812
3.54,9.54,161,15,3,2141
3.54,9.54,199,20,4,2832
6.47,11.8,310,30,6,3503
6.47,11.8,153,15,3,1998
6.47,11.8,195,20,4,2340
6.41,11.53,310,30,6,4070
6.14,12.08,255,25,5,3120
6.14,12.08,153,15,3,2053
6.14,12.08,245,25,5,3350
6.31,12.38,209,20,4,3050
6.31,12.38,153,15,3,2186
6.31,12.38,149,15,3,1789
6.31,12.38,197,20,4,2276
6.9,11.62,195,20,4,2691
6.9,11.62,156,15,3,2337
6.9,11.62,149,15,3,1988
6.9,11.62,256,25,5,2688
6.03,12.36,255,25,5,2761
6.03,12.36,195,20,4,2292
6.03,12.36,145,15,3,1845
6.27,12.77,195,20,4,2181
6.42,11.7,161,15,3,2412
6.42,11.7,253,25,5,2719
6.42,11.7,256,25,5,3732
5.2,9.3,404,40,8,5475
5.2,9.3,145,15,3,2034
5.2,9.3,254,25,5,2678
5.4,11.34,158,15,3,2290
5.4,11.34,147,15,3,2131
5.4,11.34,442,45,9,6274
5.88,11.56,153,15,3,2112
5.22,11.99,149,15,3,2229
5.22,11.99,397,40,8,5600
0,0,158,15,3,2093
5.22,11.99,255,25,5,3820
1.66,4.34,149,15,3,1989
1.66,4.34,399,40,8,4541
3.05,6.62,209,20,4,3044
3.05,6.62,199,20,4,2469
4.73,11.79,310,30,6,4395
4.76,9.72,156,15,3,1719
4.01,9.23,254,25,5,3415
3.12,8.26,147,15,3,2149
3.12,8.26,404,40,8,4496
3.12,8.26,255,25,5,2911
3.12,8.26,147,15,3,2070
3.12,8.26,397,40,8,4507
4.41,10.4,149,15,3,1939
4.41,10.4,201,20,4,2445
4.41,10.4,152,15,3,1670
5.76,12.34,155,15,3,1638
5.76,12.34,199,20,4,2587
5.76,12.34,200,20,4,2895
5.97,11.53,199,20,4,2437
5.97,11.53,153,15,3,2003
7.04,12.15,147,15,3,1910
4.35,10.29,149,15,3,1860
4.35,10.29,417,40,8,6022
4.35,10.29,145,15,3,2049
5.16,12.2,158,15,3,1930
5.16,12.2,209,20,4,2320
5.16,12.2,200,20,4,2977
4.58,12.34,149,15,3,2074
4.58,12.34,193,20,4,2258
4.58,12.34,253,25,5,3294
4.58,12.34,151,15,3,1886
4.58,12.34,201,20,4,2960
4.58,12.34,200,20,4,2351
4.58,12.34,255,25,5,3505
5.46,10.12,256,25,5,2604
5.46,10.12,255,25,5,3134
5.46,10.12,199,20,4,2710
6.86,12.1,193,20,4,2443
6.86,12.1,156,15,3,1996
6.55,12.06,254,25,5,3765
5.75,11.9,158,15,3,2244
5.75,11.9,158,15,3,1884
4.97,11.37,197,20,4,2202
4.97,11.37,256,25,5,2673
4.97,11.37,193,20,4,2276
4.55,10.17,145,15,3,1869
4.55,10.17,199,20,4,2159
4.55,10.17,151,15,3,1920
4.55,10.17,253,25,5,3116
4.55,10.17,245,25,5,3152
5.08,11.88,193,20,4,2190
5.08,11.88,147,15,3,1545
5.08,11.88,156,15,3,2087
6.4,11.23,417,40,8,4639
6.4,11.23,254,25,5,3339
7.09,11.88,245,25,5,3666
7.09,11.88,256,25,5,2628
7.48,12.17,156,15,3,1589
7.48,12.17,147,15,3,1672
7.48,12.17,256,25,5,2756
7.48,12.17,245,25,5,2785
6.67,12.15,161,15,3,1935
6.67,12.15,151,15,3,1874
6.67,12.15,152,15,3,2237
6.67,12.15,161,15,3,1983
6.67,12.15,158,15,3,1985
6.67,12.15,149,15,3,1661
6.41,12.7,253,25,5,2870
6.41,12.7,197,20,4,2498
